Code,Name
001,Unknown
002,Domestic Short Hair
003,Domestic Long Hair
004,Persian
005,Persian Cross
006,Abyssinian
007,Abyssinian Cross
008,American Curl ear
009,Angora
010,Balinese
011,Birman
012,Birman Cross
013,British Short Hair
014,Burmese
015,Burmese Cross
016,Chinchilla
017,Chinchilla Cross
018,Exotic Long Hair
019,Exotic Short Hair
020,Himalayan
021,Himalayan Cross
022,Manx
023,Norwegian Forest
024,Ragdoll
025,Rex
026,Russian Blue
027,Russian Blue Cross
028,Russian Short Hair
029,Scottish Fold
030,Siamese
031,Siamese Cross
032,Tonkinese
